name,lon,lat,5_PD_PF,6_PD_PF,7_PD_PF,8_PD_PF,9_PD_PF,10_PD_PF,average_PD
456,121.5355713,31.37145932,4041.135587,4090.633404,3975.711593,3749.246004,3928.190948,3878.317693,3943.872538
463,121.5350808,31.36951576,3211.432612,2833.215802,2968.342281,3037.571111,3036.278794,2946.583538,3005.57069
464,121.5349443,31.3690081,3272.340431,3036.673669,3140.122027,3302.427486,3273.426824,3216.077964,3206.844733
465,121.5348003,31.36850223,3648.756647,3747.298998,3747.716582,3687.794969,3698.835575,3174.517542,3617.486719
467,121.5353817,31.37052018,3814.123293,3973.932095,4029.715387,3813.704107,3320.309864,3385.839798,3722.937424
468,121.5354597,31.37104035,3637.25489,4017.122773,3959.570305,3845.154794,3908.782636,3431.96859,3799.975665
469,121.5357489,31.3697937,3484.248709,3250.39241,3359.003254,3466.646165,3641.584554,2604.46383,3301.056487
470,121.5362719,31.36976165,3225.242044,3209.987128,3321.030012,3433.097885,3570.742206,1500.09878,3043.366342
471,121.5367965,31.36973919,3291.966627,3115.048317,3331.470745,3499.730752,3842.512857,1878.980387,3159.951614
472,121.537321,31.36971051,3398.533549,3333.01706,3443.336787,3553.713062,3893.785885,3228.008156,3475.06575
473,121.5362463,31.37198088,711.8129348,852.3415857,805.8848265,747.5122835,474.4047938,388.0511883,663.3346021
474,121.5366929,31.37225551,1053.563971,1071.511501,1124.036431,875.5404231,573.6604993,464.0690329,860.3969765
475,121.5370949,31.3725901,2986.254814,3151.089819,3101.478258,3056.310775,3420.688031,3224.684698,3156.751066
476,121.5375734,31.3728042,2684.781582,2623.803061,2647.681553,2617.957483,2143.59118,1670.764756,2398.096603
477,121.5380045,31.37310258,2171.868969,2255.592845,2250.078392,2237.734953,2353.489801,2369.007022,2272.961997
481,121.541255,31.37003713,2058.203547,2088.454362,2197.050006,2216.245377,2682.57188,2327.52442,2261.674932
482,121.5410233,31.36956581,1993.87075,1924.958657,2050.975529,2055.784599,2074.495777,2095.172776,2032.543015
483,121.5420163,31.37039066,3675.460939,3497.510128,3442.943362,3775.921861,3403.717618,3572.128204,3561.280352
484,121.5425147,31.37022773,3521.461334,3342.629652,3397.11271,3558.900166,3588.603235,3181.693311,3431.733401
485,121.5430124,31.37006283,3559.221639,3773.57257,3831.430965,3553.43209,3020.330662,2695.336113,3405.554007
486,121.5435084,31.36990769,3703.436693,3976.459355,3863.381648,3691.484866,3232.299479,3129.120261,3599.363717
487,121.5437275,31.36948774,2115.396799,1987.936674,2073.43968,2262.825818,2603.402769,2068.018211,2185.169992
488,121.5434466,31.36905245,2354.400876,2578.885177,2475.641209,2267.291505,2156.582424,2404.516844,2372.886339
489,121.5430754,31.36868197,2568.73383,2353.991814,2294.579084,2740.187795,2355.113684,2467.487337,2463.348924
491,121.5379698,31.37067458,2066.540738,2180.153188,2127.285815,2265.996232,2345.004538,2022.785914,2167.961071
492,121.5380841,31.37118519,1605.53528,1834.431286,1670.93634,1655.429205,1695.249928,1856.817217,1719.733209
493,121.5384663,31.3715037,3229.780877,3159.187244,3211.074796,3491.212488,3498.163168,2155.684194,3124.183795
494,121.5389819,31.37143727,3162.215474,3354.094009,3249.74286,3213.491832,2739.52774,2802.133298,3086.867536
495,121.5394814,31.37127648,3224.271233,3263.417196,3316.772406,3252.865054,2498.256194,2431.889493,2997.911929
496,121.539967,31.37107975,3296.824887,3338.267792,3335.515596,3331.713788,2840.337006,2595.660109,3123.053196
497,121.5404573,31.37089763,3038.604497,3349.881039,3292.573933,3175.993134,3522.355783,3532.5878,3318.666031
498,121.5409455,31.37070856,3050.586045,3148.118686,3252.370153,3036.538045,2706.210763,2365.090344,2926.485673
499,121.5414429,31.37054477,3090.118016,3285.757258,3285.449739,3241.113162,3251.564834,3072.756678,3204.459948
500,121.5382757,31.36961403,3392.006713,3262.424166,3265.117147,3538.331203,3879.85641,3717.562526,3509.216361
501,121.5388016,31.36960765,3322.816346,3042.539219,3256.573835,3580.927524,3699.181999,3340.755001,3373.798987
502,121.5393249,31.36956169,3123.220292,3209.995854,3104.996709,3272.768689,3663.001451,2804.218675,3196.366945
503,121.5398394,31.3694683,3220.228068,3096.461878,3092.539572,3593.762362,3490.0984,3277.270739,3295.06017
504,121.5403486,31.36935285,3235.479755,3116.88216,3111.732305,3222.419472,3225.057924,2943.346256,3142.486312
505,121.5408362,31.36915801,3329.144362,3258.72676,3205.162288,3373.583568,3420.848286,3702.999549,3381.744135
506,121.5378954,31.36915458,2741.214827,2813.496707,2868.02501,2518.13913,2081.846395,2590.602689,2602.220793
507,121.5380895,31.36866622,1924.700119,2093.533465,2098.74682,1915.384052,2280.084377,2639.803304,2158.70869
508,121.5382563,31.36816761,1915.522602,1923.815677,2096.481408,2055.778686,2091.534614,2192.021304,2045.859049
509,121.5383674,31.36765368,3612.501953,3661.533904,3656.534439,3821.843025,3996.005198,4109.317103,3809.622604
626,121.5126242,31.36236595,3382.773737,3488.038151,3535.653971,3516.838436,3586.363684,3806.274655,3552.657106
627,121.5131088,31.36218404,3653.024434,3755.654225,3810.9324,3753.930536,3928.870086,3987.974349,3815.064338
678,121.5316948,31.3651678,3510.770219,3615.42239,3611.902199,3494.374207,3524.925561,2941.648452,3449.840505
679,121.5313011,31.3648193,3309.530262,3280.232234,3396.261312,3504.974665,3272.545901,3635.858884,3399.900543
680,121.5325825,31.36539655,3170.725714,3055.049309,3111.528575,3409.703337,3754.258014,3814.328459,3385.932235
